ID	Acct_Sched	Asset_Seq_Nbr	OEC_on_Asset	Residual	Depreciation_Type	Depreciation_Cnt	Tax_Inservice_Date	Salvage_Amt	Date_In_Service	Funding_Date	Asset_Cap_Fees	
150	7631177001	0002	1442.01	149.97	12	72	01/08/2010	0.00	1/8/2010	1/8/2010	0.00	
151	7631177001	0003	3095.28	321.91	12	72	01/08/2010	0.00	1/8/2010	1/8/2010	0.00	
152	7631177001	0004	3095.28	321.91	12	72	01/08/2010	0.00	1/8/2010	1/8/2010	0.00	
153	7631177001	0005	3946.72	410.46	12	72	01/08/2010	0.00	1/8/2010	1/8/2010	0.00	
154	7631177001	0006	3946.72	410.46	12	72	01/08/2010	0.00	1/8/2010	1/8/2010	0.00	
155	7631177001	0007	3946.72	410.46	12	72	01/08/2010	0.00	1/8/2010	1/8/2010	0.00	
156	7631177001	0008	3946.72	410.46	12	72	01/08/2010	0.00	1/8/2010	1/8/2010	0.00	
157	7631177001	0009	3946.72	410.46	12	72	01/08/2010	0.00	1/8/2010	1/8/2010	0.00	
158	7631177001	0010	4181.72	434.90	12	72	01/08/2010	0.00	1/8/2010	1/8/2010	0.00	
159	7631177001	0011	5014.35	521.49	12	72	01/08/2010	0.00	1/8/2010	1/8/2010	0.00	
160	7631177001	0012	6345.32	659.91	12	72	01/08/2010	0.00	1/8/2010	1/8/2010	0.00	
161	7631177001	0013	5014.35	521.49	12	72	01/08/2010	0.00	1/8/2010	1/8/2010	0.00	
162	7631177001	0014	5014.35	521.49	12	72	01/08/2010	0.00	1/8/2010	1/8/2010	0.00	
163	7631177001	0015	5014.35	521.49	12	72	01/08/2010	0.00	1/8/2010	1/8/2010	0.00	
164	7631177001	0016	5014.35	521.49	12	72	01/08/2010	0.00	1/8/2010	1/8/2010	0.00	
165	7631177001	0017	6345.32	659.91	12	72	01/08/2010	0.00	1/8/2010	1/8/2010	0.00	
166	7631177001	0018	5014.35	521.49	12	72	01/08/2010	0.00	1/8/2010	1/8/2010	0.00	
167	7631177001	0019	6345.32	659.91	12	72	01/08/2010	0.00	1/8/2010	1/8/2010	0.00	
168	7631177001	0020	6866.99	714.17	12	72	01/08/2010	0.00	1/8/2010	1/8/2010	0.00	
169	7631177001	0021	13280.21	1381.14	12	72	01/08/2010	0.00	1/8/2010	1/8/2010	0.00	
170	7631177001	0022	5067.90	527.06	12	72	01/08/2010	0.00	1/8/2010	1/8/2010	0.00	
171	7631177001	0023	6688.25	695.58	12	72	01/08/2010	0.00	1/8/2010	1/8/2010	0.00	
172	7631177001	0024	6688.25	695.58	12	72	01/08/2010	0.00	1/8/2010	1/8/2010	0.00	
173	7631177001	0025	9981.53	1038.08	12	72	01/08/2010	0.00	1/8/2010	1/8/2010	0.00	
174	7631177001	0026	9981.53	1038.08	12	72	01/08/2010	0.00	1/8/2010	1/8/2010	0.00	
175	7631177001	0027	6688.25	695.58	12	72	01/08/2010	0.00	1/8/2010	1/8/2010	0.00	
176	7631177001	0028	6688.25	695.58	12	72	01/08/2010	0.00	1/8/2010	1/8/2010	0.00	
177	7631177001	0029	5584.86	664.60	12	72	05/07/2010	0.00	5/7/2010	1/8/2010	0.00	
178	7631177001	0030	5510.55	655.76	12	72	05/07/2010	0.00	5/7/2010	1/8/2010	0.00	
179	7631177001	0031	1303.00	158.97	12	72	07/02/2010	0.00	7/2/2010	1/8/2010	0.00	
180	7631177001	0032	4764.00	595.50	12	72	09/14/2010	0.00	9/14/2010	1/8/2010	0.00	
181	7631177001	0033	3558.00	355.80	12	72	11/05/2010	0.00	11/5/2010	1/8/2010	0.00	
182	7686175001	0001	98805.70	0.00	16	0	09/20/2010	0.00	9/20/2010	9/20/2010	0.00	
183	7689283002	0001	7210.00	0.00	16	0	09/02/2010	0.00	9/2/2010	9/2/2010	0.00	
184	7702549001	0001	22849.16	0.00	16	0	09/20/2010	0.00	9/20/2010	9/20/2010	0.00	
185	7707516001	0001	72946.97	0.00	16	0	09/09/2010	0.00	9/9/2010	9/9/2010	0.00	
186	7708240002	0001	9877.02	0.00	16	0	09/20/2010	0.00	9/20/2010	9/20/2010	0.00	
187	7708240007	0001	9749.07	0.00	16	0	09/21/2010	0.00	9/21/2010	9/21/2010	0.00	
188	8303003009	0001	30833.34	5250.00	18	60	09/01/2010	0.00	9/1/2010	9/16/2010	0.00	
189	8388045002	0001	35712.01	0.00	16	0	09/24/2010	0.00	9/24/2010	9/24/2010	0.00	
190	8388045002	0002	18086.80	0.00	16	0	09/24/2010	0.00	9/24/2010	9/24/2010	0.00	
191	8418375001	0001	128818.58	51067.77	12	60	09/25/2009	0.00	9/25/2009	9/25/2009	10627.53	
192	8418375001	0002	128818.58	51067.77	12	60	09/25/2009	0.00	9/25/2009	9/25/2009	10627.53	
193	8418375001	0003	128818.58	51067.77	12	60	09/25/2009	0.00	9/25/2009	9/25/2009	10627.53	
194	8418375001	0004	128818.58	51067.77	12	60	09/25/2009	0.00	9/25/2009	9/25/2009	10627.53	
195	8418375001	0005	128818.58	51067.77	12	60	09/25/2009	0.00	9/25/2009	9/25/2009	10627.53	
196	8418375001	0006	128818.58	51067.77	12	60	09/25/2009	0.00	9/25/2009	9/25/2009	10627.53	
197	8418375001	0007	128818.58	51067.77	12	60	09/25/2009	0.00	9/25/2009	9/25/2009	10627.53	
